detector,n,n_correct,detection_rate,wilson_lower,wilson_upper
BAM,88330,83976,0.9507075738707121,0.9492602666881564,0.9521156803447601
CFPRF,88330,85041,0.9627646326276463,0.9614957483879583,0.9639932674849787
MRM,88330,87125,0.9863579757726707,0.9855715683159944,0.9871020817941284
