Experiment,Dataset,Detector,Metric,Value,Source_File
E5_CrossDataset_Old,LlamaPartialSpoof,CFPRF,ece_uncalibrated,0.18542877549810302,results_old_2026-04-08/e5_cross_dataset/results_cfprf.json:llamapartialspoof.cfprf.ece_uncalibrated
E5_CrossDataset_Old,PartialEdit,CFPRF,utt_eer,NA,results_old_2026-04-08/e5_cross_dataset/results_cfprf.json:partialedit.cfprf.utt_eer
E5_CrossDataset_Old,PartialEdit,CFPRF,seg_eer_20ms,0.2897099466169501,results_old_2026-04-08/e5_cross_dataset/results_cfprf.json:partialedit.cfprf.seg_eer_20ms
E5_CrossDataset_Old,PartialEdit,CFPRF,seg_f1_20ms,0.4099734151526535,results_old_2026-04-08/e5_cross_dataset/results_cfprf.json:partialedit.cfprf.seg_f1_20.0ms
E5_CrossDataset_Old,PartialEdit,CFPRF,ece_uncalibrated,0.2697842300744582,results_old_2026-04-08/e5_cross_dataset/results_cfprf.json:partialedit.cfprf.ece_uncalibrated
E5_CrossDataset_Old,LlamaPartialSpoof,MRM,utt_eer,0.2164002648243361,results_old_2026-04-08/e5_cross_dataset/results_mrm.json:llamapartialspoof.mrm.utt_eer
E5_CrossDataset_Old,LlamaPartialSpoof,MRM,seg_eer_20ms,0.4646645772572733,results_old_2026-04-08/e5_cross_dataset/results_mrm.json:llamapartialspoof.mrm.seg_eer_20ms
E5_CrossDataset_Old,LlamaPartialSpoof,MRM,seg_f1_20ms,0.4532084186723907,results_old_2026-04-08/e5_cross_dataset/results_mrm.json:llamapartialspoof.mrm.seg_f1_20.0ms
E5_CrossDataset_Old,LlamaPartialSpoof,MRM,ece_uncalibrated,0.055034868191429887,results_old_2026-04-08/e5_cross_dataset/results_mrm.json:llamapartialspoof.mrm.ece_uncalibrated
E5_CrossDataset_Old,PartialEdit,MRM,utt_eer,NA,results_old_2026-04-08/e5_cross_dataset/results_mrm.json:partialedit.mrm.utt_eer
E5_CrossDataset_Old,PartialEdit,MRM,seg_eer_20ms,0.3588409907601406,results_old_2026-04-08/e5_cross_dataset/results_mrm.json:partialedit.mrm.seg_eer_20ms
