Dataset,Detector,Seg_EER_20ms,Seg_EER_40ms,Seg_EER_80ms,Seg_EER_160ms,Seg_EER_320ms,Seg_EER_640ms
LlamaPartialSpoof,BAM,N/A,N/A,N/A,0.32074157786362456,0.306394501145438,0.2892324416461726
LlamaPartialSpoof,CFPRF,0.4676973741694385,0.4642508189843297,0.45805153301847984,0.44717603604648914,0.42810464825259603,0.39778003364933523
LlamaPartialSpoof,MRM,0.485383022790433,0.48028500596924495,0.47208960777568254,0.46107055265052505,0.4428626829379311,0.4186340534466576
PartialEdit,BAM,N/A,N/A,N/A,0.4515305679997272,0.4737926839331604,0.48622776386170974
PartialEdit,CFPRF,0.3270888803450992,0.3242855958213405,0.320635715732657,0.3134947488085971,0.307694642586142,0.32965891172143785
PartialEdit,MRM,0.4406893200161545,0.4398030578925123,0.4373355713459488,0.43316511783465206,0.42360895281503447,0.4190043401787587
HQ-MPSD,BAM,N/A,N/A,N/A,N/A,N/A,N/A
HQ-MPSD,CFPRF,N/A,N/A,N/A,N/A,N/A,N/A
HQ-MPSD,MRM,N/A,N/A,N/A,N/A,N/A,N/A
