Detector,Seg_EER_20ms,Seg_EER_160ms,Seg_F1,Frame_Accuracy,Frame_Precision,Frame_Recall,Frame_F1,Frame_ROC_AUC
BAM,NA,0.4515305679997272,0.3138565933622077,0.5498519711602036,0.21974749925312187,0.5489499921332218,0.3138565933622077,0.5820695188817512
CFPRF,0.3270888803450992,0.3134947488085971,0.43504725027700053,0.6723653317101064,0.3215525651230913,0.672363667730527,0.43504725027700053,0.720889511921109
MRM,0.4406893200161545,0.43316511783465206,0.32243695784302145,0.5591299047374408,0.22654164641270327,0.5591079099456568,0.32243695784302145,0.581925129076812
