Detector,Utt_EER,Utt_Accuracy,Utt_Precision,Utt_Recall,Utt_F1,Utt_ROC_AUC
BAM,0.08740004496508495,0.9105058365758755,0.9639263467725375,0.9092787499192871,0.9358054226475279,0.9566527168674929
CFPRF,0.11964873765093173,0.880396516583287,0.9492445867854905,0.8803512623490669,0.913500837520938,0.9366145603907162
MRM,0.11768562530666614,0.8824810079673893,0.9500903656332546,0.8825466520307355,0.9150738124728015,0.9511944005106269
