Detector,Utt_EER,Seg_EER,Seg_F1,Mean_IoU,IoU_ge_0.7,IoU_ge_0.9
BAM,0.00535362073828966,0.04651764584800689,0.7956253414608867,0.594715485495922,0.4362418208572055,0.13451363451363452
CFPRF,0.05879590494952196,0.07699134402460485,0.8961209472343494,0.7825980543290209,0.7284368053598823,0.4574841113302652
MRM,0.009381373215883207,0.13914493219133836,0.818108007421067,0.6729508797351225,0.5580288657211734,0.2501330578253655
